,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top,net_win,net_totfd,net_totyds,net_pyds,net_ryds,net_pen,net_penyds,net_trnovr,net_pt,net_ptyds,net_ptavg,net_top
70,reg,2017100807,PIT,JAX,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100807/2017100807_gtd.json,9,30,0,1,21,15,371,313,301,82,70,231,5,4,37,19,5,1,3,5,134,190,45,38,31.13333333333333,28.86666666666667,-1,6,58,219,-161,1,18,4,-2,-56,7,2.2666666666666586
71,reg,2017100806,PHI,ARI,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100806/2017100806_gtd.json,34,7,1,0,19,16,419,307,297,276,122,31,5,7,60,61,1,1,3,7,129,347,41,34,35.78333333333333,24.216666666666665,1,3,112,21,91,-2,-1,0,-4,-218,7,11.566666666666666
72,reg,2017100808,LA,SEA,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100808/2017100808_gtd.json,10,16,0,1,21,15,375,241,275,179,100,62,5,7,45,40,5,2,3,6,136,237,42,40,28.73333333333333,31.266666666666666,-1,6,134,96,38,-2,5,3,-3,-101,2,-2.533333333333335
73,reg,2017100809,OAK,BAL,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100809/2017100809_gtd.json,17,30,0,1,15,19,245,365,137,222,108,143,3,1,24,5,1,0,4,3,197,117,40,37,26.28333333333333,33.71666666666667,-1,-4,-120,-85,-35,2,19,1,1,80,3,-7.433333333333337
74,reg,2017100810,DAL,GB,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100810/2017100810_gtd.json,31,35,0,1,26,25,408,342,245,182,163,160,7,6,70,38,3,1,1,2,38,97,38,49,35.1,24.9,-1,1,66,63,3,1,32,2,-1,-59,-11,10.200000000000003
75,reg,2017100811,HOU,KC,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100811/2017100811_gtd.json,34,42,0,1,20,29,392,450,248,323,144,127,7,6,59,64,1,0,5,2,240,86,32,19,21.716666666666665,38.28333333333333,-1,-9,-58,-75,17,1,-5,1,3,154,13,-16.566666666666666
76,reg,2017100900,CHI,MIN,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100900/2017100900_gtd.json,17,20,0,1,16,17,274,300,159,141,115,159,8,9,55,69,2,0,7,6,307,258,32,39,28.6,31.4,-1,-1,-26,18,-44,-1,-14,2,1,49,-7,-2.799999999999997
77,reg,2017101200,CAR,PHI,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101200/2017101200_gtd.json,23,28,0,1,23,15,305,310,225,209,80,101,1,10,1,126,3,1,3,6,136,305,45,45,31.43333333333333,28.066666666666666,-1,8,-5,16,-21,-9,-125,2,-3,-169,0,3.3666666666666636
78,reg,2017101501,BAL,CHI,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101501/2017101501_gtd.json,24,27,0,1,16,18,291,342,166,111,125,231,8,5,69,44,3,2,7,9,385,420,49,32,31.15,38.85,-1,-2,-51,55,-106,3,25,1,-2,-35,17,-7.700000000000003
79,reg,2017101502,HOU,CLE,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101502/2017101502_gtd.json,33,17,1,0,18,16,340,247,217,113,123,134,4,11,44,72,1,3,7,7,350,358,44,43,29.066666666666666,30.93333333333333,1,2,93,104,-11,-7,-28,-2,0,-8,1,-1.8666666666666636
