,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top
49,reg,2017100105,HOU,TEN,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100105/2017100105_gtd.json,57,14,1,0,33,9,445,195,272,109,173,86,3,6,20,88,1,5,2,5,122,246,60,48,39.68333333333333,20.316666666666666
50,reg,2017100108,NYJ,JAX,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100108/2017100108_gtd.json,23,20,1,0,18,20,471,311,215,136,256,175,10,6,70,47,2,1,6,8,262,361,40,44,34.4,35.13333333333333
51,reg,2017100107,NE,CAR,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100107/2017100107_gtd.json,30,33,0,1,24,28,373,444,293,304,80,140,7,1,55,33,0,2,3,1,135,35,37,35,31.116666666666667,28.883333333333333
52,reg,2017100106,MIN,DET,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100106/2017100106_gtd.json,7,14,0,1,15,19,284,251,197,154,87,97,2,6,10,60,3,0,5,7,201,325,40,44,23.55,36.45
53,reg,2017100101,ATL,BUF,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100101/2017100101_gtd.json,17,23,0,1,25,15,391,281,242,164,149,117,4,9,45,55,3,0,3,4,120,189,40,45,31.25,28.75
54,reg,2017100102,BAL,PIT,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100102/2017100102_gtd.json,9,26,0,1,18,22,288,381,206,208,82,173,6,8,55,60,3,1,5,4,222,150,41,38,24.516666666666666,35.483333333333334
55,reg,2017100103,CLE,CIN,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100103/2017100103_gtd.json,7,31,0,1,16,25,215,350,170,264,45,86,4,8,28,66,1,1,6,4,295,191,37,47,24.966666666666665,35.03333333333333
56,reg,2017100104,DAL,LA,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100104/2017100104_gtd.json,30,35,0,1,22,24,440,412,251,244,189,168,4,7,45,41,2,0,3,2,141,108,40,54,29.466666666666665,30.533333333333335
57,reg,2017100110,LAC,PHI,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100110/2017100110_gtd.json,24,26,0,1,18,26,400,454,342,240,58,214,9,9,39,58,1,0,4,2,191,95,39,46,20.7,39.3
58,reg,2017100111,TB,NYG,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100111/2017100111_gtd.json,25,23,1,0,20,24,434,379,323,288,111,91,4,1,19,0,0,0,4,5,199,205,50,34,25.783333333333335,34.21666666666667
59,reg,2017100109,ARI,SF,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100109/2017100109_gtd.json,18,15,1,0,25,20,368,305,317,210,51,95,10,13,80,113,1,1,6,7,293,351,42,48,36.25,33.21666666666667
60,reg,2017100112,DEN,OAK,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100112/2017100112_gtd.json,16,10,1,0,16,11,298,254,155,230,143,24,6,7,40,75,0,1,6,6,271,306,44,45,32.95,27.05
61,reg,2017100113,SEA,IND,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100113/2017100113_gtd.json,46,18,1,0,22,16,477,237,283,139,194,98,6,5,45,31,2,2,1,6,35,250,35,42,32.2,27.8
62,reg,2017100200,KC,WAS,4,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100200/2017100200_gtd.json,29,20,1,0,29,15,429,331,261,220,168,111,3,7,15,44,0,1,3,4,105,169,28,37,37.15,22.85
63,reg,2017100500,TB,NE,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100500/2017100500_gtd.json,14,19,0,1,26,23,409,402,319,289,90,113,9,12,70,108,0,2,6,4,271,188,37,40,29.166666666666668,30.833333333333332
64,reg,2017100801,CLE,NYJ,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100801/2017100801_gtd.json,14,17,0,1,22,14,419,212,279,178,140,34,6,9,60,80,3,1,2,6,113,309,49,44,34.43333333333333,25.566666666666666
65,reg,2017100802,DET,CAR,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100802/2017100802_gtd.json,24,27,0,1,19,16,242,362,192,334,50,28,1,11,10,100,1,0,5,5,206,234,39,42,24.616666666666667,35.38333333333333
66,reg,2017100803,IND,SF,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100803/2017100803_gtd.json,26,23,1,0,25,23,447,402,288,336,159,66,7,10,62,77,1,0,4,6,191,274,48,46,37.28333333333333,31.083333333333332
67,reg,2017100804,MIA,TEN,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100804/2017100804_gtd.json,16,10,1,0,12,14,178,188,78,119,100,69,5,11,23,77,2,2,9,10,459,549,49,50,29.75,30.25
68,reg,2017100800,CIN,BUF,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100800/2017100800_gtd.json,20,16,1,0,18,17,388,221,323,139,65,82,6,6,71,71,3,1,4,7,187,315,37,39,30.016666666666666,29.983333333333334
69,reg,2017100805,NYG,LAC,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100805/2017100805_gtd.json,22,27,0,1,18,21,335,382,183,258,152,124,10,11,67,87,2,1,8,6,353,333,37,46,28.25,31.75
70,reg,2017100807,PIT,JAX,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100807/2017100807_gtd.json,9,30,0,1,21,15,371,313,301,82,70,231,5,4,37,19,5,1,3,5,134,190,45,38,31.133333333333333,28.866666666666667
71,reg,2017100806,PHI,ARI,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100806/2017100806_gtd.json,34,7,1,0,19,16,419,307,297,276,122,31,5,7,60,61,1,1,3,7,129,347,41,34,35.78333333333333,24.216666666666665
72,reg,2017100808,LA,SEA,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100808/2017100808_gtd.json,10,16,0,1,21,15,375,241,275,179,100,62,5,7,45,40,5,2,3,6,136,237,42,40,28.733333333333334,31.266666666666666
73,reg,2017100809,OAK,BAL,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100809/2017100809_gtd.json,17,30,0,1,15,19,245,365,137,222,108,143,3,1,24,5,1,0,4,3,197,117,40,37,26.283333333333335,33.71666666666667
74,reg,2017100810,DAL,GB,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100810/2017100810_gtd.json,31,35,0,1,26,25,408,342,245,182,163,160,7,6,70,38,3,1,1,2,38,97,38,49,35.1,24.9
75,reg,2017100811,HOU,KC,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100811/2017100811_gtd.json,34,42,0,1,20,29,392,450,248,323,144,127,7,6,59,64,1,0,5,2,240,86,32,19,21.716666666666665,38.28333333333333
76,reg,2017100900,CHI,MIN,5,2017,POST,http://www.nfl.com/liveupdate/game-center/2017100900/2017100900_gtd.json,17,20,0,1,16,17,274,300,159,141,115,159,8,9,55,69,2,0,7,6,307,258,32,39,28.6,31.4
77,reg,2017101200,CAR,PHI,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101200/2017101200_gtd.json,23,28,0,1,23,15,305,310,225,209,80,101,1,10,1,126,3,1,3,6,136,305,45,45,31.433333333333334,28.066666666666666
78,reg,2017101501,BAL,CHI,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101501/2017101501_gtd.json,24,27,0,1,16,18,291,342,166,111,125,231,8,5,69,44,3,2,7,9,385,420,49,32,31.15,38.85
79,reg,2017101502,HOU,CLE,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101502/2017101502_gtd.json,33,17,1,0,18,16,340,247,217,113,123,134,4,11,44,72,1,3,7,7,350,358,44,43,29.066666666666666,30.933333333333334
80,reg,2017101503,MIN,GB,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101503/2017101503_gtd.json,23,10,1,0,24,14,351,227,239,155,112,72,7,8,65,92,2,3,4,6,155,263,37,45,32.15,27.85
81,reg,2017101504,NO,DET,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101504/2017101504_gtd.json,52,38,1,0,19,18,379,347,186,281,193,66,13,7,118,46,3,5,7,5,344,243,31,47,32.18333333333333,27.816666666666666
82,reg,2017101500,ATL,MIA,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101500/2017101500_gtd.json,17,20,0,1,19,20,339,289,239,151,100,138,6,4,73,42,1,1,3,2,118,80,37,30,25.6,34.4
83,reg,2017101505,NYJ,NE,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101505/2017101505_gtd.json,17,24,0,1,23,23,408,375,334,257,74,118,6,6,69,45,3,2,4,4,187,160,42,41,33.666666666666664,26.333333333333332
84,reg,2017101506,WAS,SF,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101506/2017101506_gtd.json,26,24,1,0,25,21,419,335,325,250,94,85,5,7,43,40,2,1,4,6,181,254,31,41,36.86666666666667,23.133333333333333
85,reg,2017101507,ARI,TB,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101507/2017101507_gtd.json,38,33,1,0,23,21,432,414,272,346,160,68,7,9,61,49,2,2,2,4,93,154,42,39,32.38333333333333,27.616666666666667
86,reg,2017101508,JAX,LA,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101508/2017101508_gtd.json,17,27,0,1,19,12,389,249,220,107,169,142,5,7,40,70,1,1,8,7,274,322,29,43,31.983333333333334,28.016666666666666
87,reg,2017101509,KC,PIT,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101509/2017101509_gtd.json,13,19,0,1,12,23,251,439,223,245,28,194,7,6,48,57,0,1,4,5,190,207,48,30,23.35,36.65
88,reg,2017101510,OAK,LAC,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101510/2017101510_gtd.json,16,17,0,1,15,20,274,343,165,263,109,80,5,4,40,32,2,1,4,4,226,223,55,46,27.95,32.05
89,reg,2017101511,DEN,NYG,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101511/2017101511_gtd.json,10,23,0,1,20,12,412,266,366,118,46,148,5,5,46,77,3,0,3,6,153,299,44,46,29.4,30.6
90,reg,2017101600,TEN,IND,6,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101600/2017101600_gtd.json,36,22,1,0,25,18,473,297,305,212,168,85,4,5,45,51,1,1,1,3,44,160,44,48,35.88333333333333,24.116666666666667
91,reg,2017101900,OAK,KC,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017101900/2017101900_gtd.json,31,30,1,0,32,19,505,425,417,331,88,94,10,8,97,108,0,0,3,3,146,137,44,46,29.4,30.6
92,reg,2017102200,BUF,TB,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102200/2017102200_gtd.json,30,27,1,0,23,27,434,447,261,378,173,69,4,5,35,55,1,3,2,2,101,77,51,19,26.833333333333332,33.166666666666664
