,type,game_id,home_team,away_team,week,season,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top,,N = 6 Weeks
91,reg,2018101412,NE,KC,6,2018,-2,-54.5,-58.5,4,-3.166666667,-26.16666667,0.666666667,1.5,58,-6.333333333,-0.05,,
92,reg,2018101500,GB,SF,6,2018,-3.5,-15.33333333,25.16666667,-40.5,1.333333333,18.33333333,-0.333333333,0,12.5,-5.166666667,1.683333333,,
93,reg,2018101800,ARI,DEN,7,2018,-9.5,-167.3333333,-107,-60.33333333,-0.333333333,-12.5,0.333333333,0.666666667,58,4,-4.636111111,,
94,reg,2018102100,LAC,TEN,7,2018,6.833333333,149.8333333,111,38.83333333,1.833333333,11.66666667,-0.166666667,-1.333333333,-77.5,-10.16666667,2.511111111,,
95,reg,2018102104,JAX,HOU,7,2018,-2.5,-17.83333333,-12,-5.833333333,-0.166666667,19.66666667,0.5,0.5,10.83333333,-2.166666667,-2.188888889,,
96,reg,2018102108,PHI,CAR,7,2018,1.5,23.5,43.83333333,-20.33333333,1.833333333,27,-0.166666667,0.333333333,33,2,3.663888889,,
97,reg,2018102107,NYJ,MIN,7,2018,-4.833333333,-50.66666667,-93.66666667,43,-0.166666667,-2,0.5,-0.166666667,14.33333333,3.333333333,-0.744444444,,
98,reg,2018102102,CHI,NE,7,2018,-2.333333333,-42.5,-32.83333333,-9.666666667,2.166666667,23.5,-0.333333333,0.333333333,18.33333333,10.83333333,1.413888889,,
99,reg,2018102103,IND,BUF,7,2018,8.166666667,146.6666667,163,-16.33333333,-0.166666667,1.833333333,0.333333333,-2.5,-106.3333333,5.333333333,-2.513888889,,
100,reg,2018102109,TB,CLE,7,2018,4.833333333,83.16666667,136,-52.83333333,-1.166666667,-2.833333333,0.833333333,-4.333333333,-189,4.666666667,-1.844444444,,
